id,names,base_names
1407374885933937,"{""primary"":""Red Wing - Roswell, GA""}","{""primary"":""Red Wing""}"
08f3956260b9e14003feca2bf0764d0c,"{""primary"":""Norauto España""}","{""primary"":""Norauto""}"
08f2aa879200ab960398d7c665470cf4,"{""primary"":""Comfort Inn Alexandria West - Landmark""}","{""primary"":""Comfort Inn Landmark""}"
08f1969a93ad194003d9ba6cd9e59cbc,"{""primary"":""SushiCo""}","{""primary"":""SushiCo | Sushi & Bubble Tea Ede""}"
08f48d621e8c9db103fd54168e9fe11c,"{""primary"":""Pettigrew and Associates""}","{""primary"":""Pettigrew & Associates""}"
1407374887100674,"{""primary"":""Murphy USA""}","{""primary"":""Murphy Express""}"
1407374885778830,"{""primary"":""Fitness Together""}","{""primary"":""Fitness Together - Jenks Riverside""}"
08f1f1a9ab72151e0395f93e968c61b9,"{""primary"":""Aral""}","{""primary"":""ARAL Tankstelle""}"
1407374886630445,"{""primary"":""Heartland Mortgage Inc - Bobbie Jo Haggard""}","{""primary"":""Heartland Mortgage Inc. / Bobbie Jo Haggard, NMLS 92472""}"
08f266d4a16a03ab0311ad6f84dc7077,"{""primary"":""Mr. Roof Louisville""}","{""primary"":""Mr Roof Louisville""}"
08f1ea4c402c36690356e3ca028ae6f9,"{""primary"":""Residence Malcesine""}","{""primary"":""RESIDENCE MALCESINE Active & Family""}"
08f2e614569a86580306294dc87fd829,"{""primary"":""京都御所 Kyoto Imperial Palace""}","{""primary"":""京都御所""}"
08f274864eb8c0f30307c49f06635d20,"{""primary"":""SignWriter""}","{""primary"":""Sign Writer""}"
08f1f916e27045180352f04913bc42cc,"{""primary"":""fnac""}","{""primary"":""FNAC Chambéry""}"
08f3da11a880352a03e1b552a441aa16,"{""primary"":""Ebowla Gurgaon""}","{""primary"":""Ebowla Club & BYOB""}"
08f1e33450db537303a4d343dac8ccdc,"{""primary"":""Cella Café""}","{""primary"":""Cella Café Bar & Restaurant""}"
08f2af62655ad02303c1c002aed33a25,"{""primary"":""Code Ninjas""}","{""primary"":""Code Ninjas Virginia Beach""}"
281474977374045,"{""primary"":""Interstate Battery""}","{""primary"":""Interstate All Battery Center""}"
08f1e9a009660cb00355eadd4822414d,"{""primary"":""Poltronesofa""}","{""primary"":""poltronesofà Palermo""}"
2251799821514759,"{""primary"":""Giant Eagle""}","{""primary"":""Giant Eagle Supermarket""}"
08f44d0b21db402403ebbb87ae0839ba,"{""primary"":""Tammy Medlin, FNP""}","{""primary"":""Tammy Medlin""}"
2251799818555093,"{""primary"":""Service King Collision Repair South Ft. Worth""}","{""primary"":""Service King Collision Repair of South Ft Worth""}"
1125899913126469,"{""primary"":""SKH Locksmiths & Security LLC""}","{""primary"":""SKH Locksmiths""}"
08f3f623a4116d4903fe879fe705b16c,"{""primary"":""Bitezz""}","{""primary"":""Bitez Mandalina Şenliği""}"
08f29a1baeb2832203e9d467f859f591,"{""primary"":""Home Instead""}","{""primary"":""Home Instead Senior Care""}"
1407374890969242,"{""primary"":""IM Immobilien GmbH""}","{""primary"":""IM Immobilien""}"
08f1f88243665d18033b4f1690be86cc,"{""primary"":""Kini Bike World""}","{""primary"":""KINI Bike World - KTM KINI GmbH""}"
08f2a122b34060f1033f6a3fcca4ddb0,"{""primary"":""Target Store Richland-Twp""}","{""primary"":""Target Richland Twp""}"
08f44c172aba3061037c50a9d048d1eb,"{""primary"":""Roto-Rooter Plumbing and Water Cleanup""}","{""primary"":""Roto-Rooter Plumbing & Water Cleanup of Loganville""}"
08f61ab71132610d03372ca4b1fb884a,"{""primary"":""Poorvika Mobiles""}","{""primary"":""Poorvika Mobiles Cuddalore - Opp to Bus Stand""}"
08f1f91ac245659b038927a04bb21a00,"{""primary"":""Victoria coiffure""}","{""primary"":""Victoria Coiffure Florissant""}"
844424933664824,"{""primary"":""GRUPPO BOSSONI - Alfa Romeo""}","{""primary"":""Gruppo Bossoni Fiat Professional""}"
08f48ebb4851970903f9e70e6c491185,"{""primary"":""Indigo""}","{""primary"":""Indigo Apartments""}"
08f28f01514b200203d6fc2e65ce45d4,"{""primary"":""Arthur Murray Dance Studio - Beaverton""}","{""primary"":""Arthur Murray""}"
2251799819231247,"{""primary"":""Petco""}","{""primary"":""Petco Animal Supplies""}"
08f48c612b131001031729a1c1fbb5ca,"{""primary"":""Bitcoin Depot""}","{""primary"":""Bitcoin Depot - Bitcoin ATM""}"
08f2aa6ce15a18c903e7ee69db302e3e,"{""primary"":""West Herr Cadillac""}","{""primary"":""West Herr Cadillac of East Aurora""}"
08f29a0ade58944c0388ba4b6839fe2d,"{""primary"":""Olive Garden""}","{""primary"":""Olive Garden Italian Restaurant""}"
1407374888884529,"{""primary"":""Rewe To Go""}","{""primary"":""REWE""}"
08f2681a31808050037d5e7ecf9e1b01,"{""primary"":""Larry H. Miller Toyota Scion Boulder""}","{""primary"":""Larry H. Miller Toyota Boulder""}"
1970324842205440,"{""primary"":""Sir Walter Chevrolet Company""}","{""primary"":""Sir Walter Chevrolet""}"
1970324838776782,"{""primary"":""Grapefruit Graphics""}","{""primary"":""Grapefruit Graphics Ltd.""}"
08f27418ead55b2203bbea6c6321ba6c,"{""primary"":""Dan Stiebel""}","{""primary"":""Dan Stiebel, Coldwell Banker Commercial Schmidt""}"
08f194e39611330b031433f11d58b7da,"{""primary"":""Specsavers""}","{""primary"":""Specsavers Opticians And Audiologists - South Woodham Sainsbury's""}"
1125899911771209,"{""primary"":""uBreakiFix""}","{""primary"":""uBreakiFix - Phone and Computer Repair""}"
08f1f02063cd996b03253b5a992c8fbc,"{""primary"":""bergwerk IT GmbH""}","{""primary"":""bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur""}"
562949958207347,"{""primary"":""Miller's Ale House - Tampa Airport""}","{""primary"":""Miller's Ale House""}"
08f12db7756486da03e71a795e1b150a,"{""primary"":""PLACE Landscape Architecture, LLC""}","{""primary"":""PLACE Landscape Architecture""}"
08f2ab13b0d0e901037694635b1be2ed,"{""primary"":""First General Services of Western PA""}","{""primary"":""First General Service Of Western PA""}"
08f29a199eaf25a603a95d490f36ddce,"{""primary"":""Cookie Cutters Haircuts for Kids""}","{""primary"":""Cookie Cutters Haircuts for Kids - Beverly Hills""}"
